NAME,POPOS_ADDRESS,HOURS,TYPE,LANDSCAPING,SEATING_No,FOOD_SERVICE,Art,RESTROOMS,Accessibility,LOCATION,YEAR,SOURCE,Food,Seating,Description,Seating_and_Tables,Hours_Type,Subject_To_Downtown_PLN,Signage,Amenities,BLOCK_NUM,LOT_NUM,PARCEL_NUM,Restroom,Indoor,Special_Amenities,Map ID,latitude,longitude,point
55 Second St - C,55 Second St,"8AM - 6PM, M-F",Atrium,"A few planters, interesting paving, Art on walls.",4 benches (8 seats) along walls of gallery space.,No,Yes,"Yes, through main lobby at reception desk (ID required)",13080,Entrance from Stevenson Street,2002,,,Y,,,Open Business Hours,Yes,Yes,,3708,096,3708096,true,true,,,37.789,-122.400283,POINT (-122.400283 37.789)
Millenium Tower Plaza,301 Mission St,"8AM - 6PM, M-F","Atrium, Plaza","4 trees with lights, 10 medium plants",41 movable chairs and 24 linear seats,Yes,Yes,Yes. No restriction or lock.,Indirect for Atrium. Unknown for Plaza,Ground level.,2005,,Y,Y,"This atrium features extensive artwork and is served by a bar/restaurant on the premises. It has various types of seating with tables, and high windows overhead.",,Open Business Hours,Yes,"yes.  Small, non-compliant plaque outside door",,3719,020,3719020,true,true,,,37.79052,-122.39656,POINT (-122.39656 37.79052)
425 Market St,425 Market St,Open at all times,Urban Garden,"15 trees, 12 large planters with flowers","8 backed benches at 7'8""; 4 6' benches",Yes,No,No,Direct,,1973,,Y,Y,"An open plaza between buildings with benches, trees and some landscape materials.",,Open At All Times,No,None,,3709,014,3709014,,,,,37.79111153,-122.39851021,POINT (-122.39851021 37.79111153)
77 Van Ness Ave,77 Van Ness Ave,"8AM - 6PM, M-F",Indoor Park,None,3 tables with 9 movable chairs,No,Yes,Yes,Direct,Inside the lobby,2002,,,Y,This space is in the front lobby of 77 Van Ness. It has tables and chairs and features a sculpture.,Y,Open Business Hours,Yes,"One sign on street, facing 90 degrees away from street. Removed in evenings in early mornings",,0834,032,0834032,true,true,,,37.77613,-122.41971,POINT (-122.41971 37.77613)
345 California St A,345 California St,Open at all times,Plaza,Planters with a few trees,"14 chairs, 5 tables, 50' linear seating",Sandwich shop and café,No,No,Direct,Plaza in front of building main entrance.,1986,,Y,Y,"This open space is provided in the form of a large plaza fronting California Street. Additionally, two snippets can be found on the west and east sides of the building, connected by an interior walkway. The plaza and east snippet are served by restaurant",,Open At All Times,Yes,None,,0261,018,0261018,,,,,37.79306,-122.40046,POINT (-122.40046 37.79306)
345 California St East B,345 California St,Open at all times,Snippet,Planters with a few trees,"15 chairs, 5 tables, 50' linear seating",Sandwich shop and café,No,No,Direct,"Two snippets on either side of building main entrance, connected by walkway.",1986,,Y,Y,"Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the B",Y,Open At All Times,Yes,None,,0261,017,0261017,,,,,37.79286,-122.40005,POINT (-122.40005 37.79286)
345 California St West C,345 California St,Open at all times,Snippet,Planters with a few trees,"16 chairs, 5 tables, 50' linear seating",Sandwich shop and café,No,No,Direct,"Two snippets on either side of building main entrance, connected by walkway.",1986,,Y,Y,"Two snippets can be found on the west and east sides of the building, connected by an interior walkway. The west snippet can be entered from Sansome Street, next to the Mandarin Hotel. There is a bench and bamboo in planters. The east snippet is on the B",Y,Open At All Times,Yes,None,,0261,017,0261017,,,,,37.79263,-122.40091,POINT (-122.40091 37.79263)
"Embarcadero Center West 1, 2, & 3",1-5 Embarcadero Center,Open at all times,Pedestrian walkway on ground and 2nd levels,"Trees, ferns, arbor, planters","30 tables, 107 chairs, plus planter-side seating, benches.",Yes,Yes,No,"Direct, indirect",Commercial Street between Drumm and Sansome,1985,,Y,Y,"Commercial Street throughout Embarcadero 1, 2, and 3 is a pedestrian mall on ground floor and 2nd level, which is accessed by an elaborate staircase system, flanked by waterfalls. Fountains, foliage, art work, and bench seating found throughout.",Y,Open At All Times,No,None,,0233,044,0233044,true,,,,37.79446,-122.40125,POINT (-122.40125 37.79446)
250 Howard,250 Howard,,Urban Park (under construction),,,,,,,,Under construction,,,,,,,Yes,,,3718,040,3718040,,,,,37.790744,-122.394009,POINT (-122.394009 37.790744)
333 Market St,333 Market St,Open at all times,Plaza,"1 large tree and shrub planters, mostly concrete",105' linear seating,Yes,No,No,Direct,,1979,,Y,Y,Open plaza with minimal seating on the edge of planters.,,Open At All Times,No,None,,3710,020,3710020,true,,,,37.79175429,-122.39779067,POINT (-122.39779067 37.79175429)
