Date,Customer ID,Product,Quantity,Unit Price,Total
2024-01-15,C1001,Laptop Pro X,2,999.99,1999.98
2024-01-15,C1002,Wireless Mouse,5,29.99,149.95
2024-01-16,C1003,External SSD 1TB,3,159.99,479.97
2024-01-16,C1001,USB-C Cable,4,19.99,79.96
2024-01-17,C1004,Monitor 27",1,349.99,349.99
2024-01-17,C1005,Keyboard Elite,2,129.99,259.98
2024-01-18,C1002,Headphones Pro,1,199.99,199.99
2024-01-18,C1006,Webcam HD,3,79.99,239.97
2024-01-19,C1007,Power Bank,2,49.99,99.98
2024-01-19,C1003,Phone Case,5,24.99,124.95
